"Programa de Governo"|"Ação"|"Órgão Responsável"|"Quanto foi previsto"|"Quanto já foi realizado <br>(Empenhado ou Pago)"
"Saude Publica de Qualidade e Eficaz"|"em 256 Loa 2024 - Custeio da Integrar - Instituica o Terapeutica Grupos de Habilitacao e Reabilitacao"|"Secr.da Saude"|35000.00|35000.00
"Saude Publica de Qualidade e Eficaz"|"em 258 Loa 2024 - Custeio do Hospital Santa Lucind a (hsl)"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 259 Loa 2024-CUSTEIO da Ibrapper-inst.brasileir o Apoio Pacientes Oncologicos em Reflexologias"|"Secr.da Saude"|70000.00|70000.00
"Saude Publica de Qualidade e Eficaz"|"em 260 Loa 2024 - Custeio da Associacao de Socorro Imediato a Pessoas Com Cancer - Asipeca"|"Secr.da Saude"|70000.00|70000.00
"Saude Publica de Qualidade e Eficaz"|"em 261 Loa 2024 - Custeio do Gpaci - Grupo de Pesq Uisa e Assistencia ao Cancer Infantil"|"Secr.da Saude"|200000.00|200000.00
"Saude Publica de Qualidade e Eficaz"|"em 262 Loa 2023 - Aquisicao Equipamentos e Materia Is Permanentes P/unidade Basica Saude Jd.rodrigo"|"Secr.da Saude"|20000.00|14220.05
"Saude Publica de Qualidade e Eficaz"|"em 262 Loa 2024 - Custeio de Consultas no Hospital Oftalmologico de Sorocaba, Gerido pelo Bos"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 263 Loa 2023 - Reforco para Entidade Cuidadora de Pessoa Com Fissura Labiopalatal - Afissore"|"Secr.da Saude"|20000.00|20000.00
"Saude Publica de Qualidade e Eficaz"|"em 263 Loa 2024 - Custeio do Instituto Maria Claro Lar Ivan Santos de Albuquerque"|"Secr.da Saude"|70000.00|70000.00
"Saude Publica de Qualidade e Eficaz"|"em 263 Loa 2025 - Custeio ao Gpaci - Grupo de Pesq Uisa e Assistencia ao Cancer Infantil"|"Secr.da Saude"|225000.00|225000.00
"Saude Publica de Qualidade e Eficaz"|"em 264 Loa 2023-INCREMENTO Atencao a Saude Populac ao P/procedimentos Assistencia Saude Junto a Apae"|"Secr.da Saude"|30000.00|30000.00
"Saude Publica de Qualidade e Eficaz"|"em 265 Loa 2023 - Incremento das Atividades Desenv Olvidas pela Asipeca"|"Secr.da Saude"|10000.00|10000.00
"Saude Publica de Qualidade e Eficaz"|"em 266 Loa 2023 - Realizacao do Projeto Catarata P Ela Entidade Banco de Olhos de Sorocaba - Bos"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 267 Loa 2023 - Custeio das Atividades Realizada S pela Santa Casa de Misericordia de Sorocaba"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 268 Loa 2023 - Custeio a Apeas para Atendimento Multidisciplinar de Pessoas Com Transtorno do Neu"|"Secr.da Saude"|30000.00|30000.00
"Saude Publica de Qualidade e Eficaz"|"em 269 Loa 2023 - Custeio a Entidade Gpaci, para R Eforco ao Tratamento"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 27 Loa 2023 - Custeio do Bos - Banco de Olhos D e Sorocaba"|"Secr.da Saude"|70000.00|70000.00
